time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-15T14:05:26.399Z,-23.3745,170.6672,18.329,4.8,mb,34,161,3.063,0.89,us,us7000nrz2,2024-11-15T14:56:32.040Z,"southeast of the Loyalty Islands",earthquake,10.73,4.859,0.107,29,reviewed,us,us
2024-11-15T11:38:19.511Z,-23.5887,170.239,10,5,mb,27,96,2.748,0.75,us,us7000nryk,2024-11-15T13:13:01.040Z,"298 km ESE of Vao, New Caledonia",earthquake,11.57,1.872,0.126,20,reviewed,us,us
2024-11-15T11:34:48.614Z,-6.3131,129.8028,12.088,4.5,mb,19,96,1.782,1.17,us,us7000nryj,2024-11-16T12:12:42.040Z,"Banda Sea",earthquake,6.94,2.805,0.132,17,reviewed,us,us
2024-11-15T10:51:26.058Z,-5.6417,151.4814,54.915,4.5,mb,60,45,1.593,0.56,us,us7000nryh,2024-11-15T13:28:19.040Z,"149 km E of Kimbe, Papua New Guinea",earthquake,9.44,7.214,0.078,49,reviewed,us,us
2024-11-15T10:41:05.732Z,-61.5218,153.9433,10,5.5,mww,28,113,7.524,0.31,us,us7000nryg,2024-11-16T10:44:36.940Z,"Balleny Islands region",earthquake,9.88,1.702,0.068,21,reviewed,us,us
2024-11-15T09:02:01.933Z,40.9999,40.8811,10,4.5,mwr,100,34,1.024,0.5,us,us7000nry6,2024-11-15T21:58:10.910Z,"4 km SSW of Nurluca, Turkey",earthquake,4.65,1.842,0.058,29,reviewed,us,us
2024-11-15T08:41:47.294Z,-19.3237,-172.9768,10,5.4,mb,43,86,2.892,1.36,us,us7000nry3,2024-11-16T08:45:08.512Z,"129 km SE of Neiafu, Tonga",earthquake,10.75,1.866,0.085,47,reviewed,us,us
2024-11-15T07:46:20.983Z,37.9543,37.6427,10,4.9,mb,51,55,0.629,0.69,us,us7000nrxw,2024-11-15T21:56:11.125Z,"17 km E of Nurhak, Turkey",earthquake,4.26,1.729,0.077,53,reviewed,us,us
2024-11-15T07:29:20.763Z,-5.9344,147.4578,88.138,4.8,mb,43,100,3.866,1.06,us,us7000nrxu,2024-11-15T21:44:11.286Z,"81 km NNW of Finschhafen, Papua New Guinea",earthquake,6.55,8.074,0.105,28,reviewed,us,us
2024-11-15T05:28:29.617Z,-4.7021,153.3201,51.891,6.6,mww,50,67,1.26,1.35,us,us7000nrwz,2024-11-17T09:55:24.266Z,"123 km ESE of Kokopo, Papua New Guinea",earthquake,8.85,7.797,0.061,26,reviewed,us,us
2024-11-15T03:46:45.931Z,6.5015,-82.4485,10,5,mww,40,160,2.854,1.41,us,us7000nrwt,2024-11-15T04:05:40.040Z,"175 km SSE of Burica, Panama",earthquake,7.92,1.948,0.055,32,reviewed,us,us
2024-11-15T02:17:08.437Z,51.718,-173.612,47.711,4.7,mb,61,139,0.605,1.06,us,us7000nrwh,2024-11-15T07:18:41.383Z,"66 km SE of Atka, Alaska",earthquake,7.95,4.857,0.04,192,reviewed,us,us
2024-11-15T02:08:12.987Z,0.4717,126.6648,64.597,4.6,mb,45,54,0.762,0.61,us,us7000nrwg,2024-11-15T22:31:32.040Z,"87 km WSW of Ternate, Indonesia",earthquake,7.6,6.687,0.112,28,reviewed,us,us
2024-11-15T00:11:58.311Z,51.5389,-178.3143,51.547,5.1,mb,101,122,0.312,0.72,us,us7000nrw7,2024-11-17T00:22:12.468Z,"121 km WSW of Adak, Alaska",earthquake,4.6,4.87,0.026,479,reviewed,us,us
2024-11-14T21:49:13.810Z,51.562,-178.5695,88.354,4.7,mb,43,174,0.153,0.57,us,us7000nrv2,2024-11-15T01:38:57.375Z,"138 km WSW of Adak, Alaska",earthquake,7.91,3.784,0.058,90,reviewed,us,us
2024-11-14T19:08:17.412Z,-6.0281,104.3091,88.381,5.1,mb,89,55,2.136,0.95,us,us7000nrtu,2024-11-14T19:28:29.040Z,"124 km WSW of Bandar Lampung, Indonesia",earthquake,7.75,5.859,0.049,137,reviewed,us,us
2024-11-14T17:51:37.128Z,-0.2088,127.0899,38.42,4.7,mb,45,84,1.012,0.51,us,us7000nrtj,2024-11-14T18:18:30.040Z,"63 km NW of Labuha, Indonesia",earthquake,3.67,6.409,0.082,45,reviewed,us,us
2024-11-14T15:42:52.206Z,-7.2282,121.2182,541.374,4.5,mb,39,71,1.725,0.71,us,us7000nrrw,2024-11-14T16:06:57.040Z,"174 km NNE of Ruteng, Indonesia",earthquake,7.92,8.27,0.105,27,reviewed,us,us
2024-11-14T11:15:12.948Z,38.7378,142.659,47.69,4.7,mb,26,130,2.389,0.65,us,us7000nrpa,2024-11-14T12:06:23.040Z,"89 km ESE of Ōfunato, Japan",earthquake,8.41,6.346,0.166,11,reviewed,us,us
2024-11-14T09:16:27.397Z,16.2867,-98.5612,15.14,5,mb,72,177,1.269,0.86,us,us7000nrp3,2024-11-14T15:43:20.313Z,"13 km SSW of Montecillos, Mexico",earthquake,11.73,7.291,0.035,268,reviewed,us,us
